Name:	SC LIFUN CELLS CYCLING JSC27_28
Channel:	11
Tester	Maccor #2
Procedure	SC_CYCLING4.000
Description	SCLIFUN4.3V_JAN2021
Started	1/21/2021 12:33:20 PM
SCap	0.000000
C Rate	0.2
Ch. max. V	8.00 V
DisCh. min. V	-2.00 V
Ch. max. I	5.000 A
DisCh. max. I	5.000 A
Comment:	JSC28_CH12_JSC27_CH11

#		Ch. Cap.	Dis. Cap.	
	[Cycle no.]	[Ah]	[Ah]	
291	291	0.22322000	0.22491700	
292	292	0.22313100	0.22480600	
293	293	0.22301700	0.22468000	
294	294	0.22287200	0.22465800	
295	295	0.22297700	0.22467200	
296	296	0.22289700	0.22458800	
297	297	0.22286900	0.22461000	
298	298	0.22282500	0.22454100	
299	299	0.22280200	0.22439800	
300	300	0.22259700	0.22429600	
301	301	0.22267500	0.22436900	
302	302	0.22263000	0.22424800	
303	303	0.22253800	0.22419300	
304	304	0.22230800	0.22404100	
305	305	0.21306200	0.23048300	
306	306	0.21943100	0.23085200	
307	307	0.22915900	0.22473100	
308	308	0.22319300	0.22470300	
309	309	0.22309200	0.22470200	
310	310	0.22291600	0.22456400	
311	311	0.22279000	0.22446200	
312	312	0.22264300	0.22425700	
313	313	0.22239600	0.22414600	
314	314	0.22238400	0.22412900	
315	315	0.22224200	0.22380500	
316	316	0.22198800	0.22374400	
317	317	0.22206700	0.22380300	
318	318	0.22198700	0.22363200	
319	319	0.22180700	0.22349700	
320	320	0.22162700	0.22334200	
321	321	0.22151400	0.22322300	
322	322	0.22135100	0.22304400	
323	323	0.22128700	0.22305600	
324	324	0.22131100	0.22303400	
325	325	0.22279500	0.22665400	
326	326	0.22499000	0.22511800	
327	327	0.22447100	0.22512500	
328	328	0.22424800	0.22498600	
329	329	0.22405400	0.22475800	
330	330	0.22379600	0.22467400	
331	331	0.22362000	0.22450000	
332	332	0.22350200	0.22438400	
333	333	0.22332900	0.22427600	
334	334	0.22321500	0.22417300	
335	335	0.22331000	0.22417200	
336	336	0.22295200	0.22395800	
337	337	0.22303100	0.22399200	
338	338	0.22289800	0.22395100	
339	339	0.22282000	0.22365700	
340	340	0.22268900	0.22367300	
341	341	0.22268700	0.22367300	
342	342	0.22258500	0.22350800	
343	343	0.22243000	0.22340300	
344	344	0.22239100	0.22335900	
345	345	0.22232600	0.22329700	
346	346	0.22221700	0.22322700	
347	347	0.22219900	0.22315100	
348	348	0.22212700	0.22305200	
349	349	0.22200600	0.22298500	
350	350	0.22192000	0.22289300	
351	351	0.22185000	0.22278700	
352	352	0.22178300	0.22272800	
353	353	0.22177600	0.22277000	
354	354	0.22182500	0.22274300	
355	355	0.22169900	0.22264700	
356	356	0.22156500	0.22249900	
357	357	0.22153500	0.22249300	
358	358	0.22140600	0.22237600	
359	359	0.22141800	0.22231400	
360	360	0.22120800	0.22216400	
361	361	0.22119700	0.22214700	
362	362	0.22121800	0.22202800	
363	363	0.22097100	0.22195000	
364	364	0.22087100	0.22181400	
365	365	0.22089100	0.22173500	
366	366	0.22060700	0.22158800	
367	367	0.22049200	0.22143000	
368	368	0.22021300	0.22113400	
369	369	0.21998000	0.22105500	
370	370	0.22014100	0.22113500	
371	371	0.22028700	0.22126000	
372	372	0.22000700	0.22087200	
373	373	0.21983400	0.22079600	
374	374	0.21975700	0.22070500	
375	375	0.21957300	0.22050600	
376	376	0.21948100	0.22049600	
377	377	0.21955300	0.22054900	
378	378	0.21945100	0.22034600	
379	379	0.21927300	0.22027900	
380	380	0.21932700	0.22029800	
381	381	0.21934700	0.22021400	
382	382	0.21905700	0.21999200	
383	383	0.21896200	0.21995200	
384	384	0.21904400	0.21985700	
385	385	0.21835600	0.21927800	
386	386	0.21842500	0.21949700	
387	387	0.21848600	0.21948200	
388	388	0.21834300	0.21911400	
389	389	0.21801900	0.21908800	
390	390	0.21806200	0.21904500	
391	391	0.21835600	0.21939400	
392	392	0.21815700	0.21898200	
393	393	0.21799300	0.21899900	
394	394	0.21818200	0.21927700	
395	395	0.21812100	0.21880500	
396	396	0.21777200	0.21875700	
397	397	0.21783000	0.21872700	
398	398	0.21765500	0.21848700	
399	399	0.21742900	0.21839500	
400	400	0.21744300	0.21837400	
401	401	0.21741600	0.21830500	
402	402	0.21720500	0.21812400	
403	403	0.21714100	0.21809500	
404	404	0.21710900	0.21804800	
405	405	0.21708400	0.21790100	
406	406	0.21685200	0.21780700	
407	407	0.21544500	0.22893400	
408	408	0.22080700	0.22893700	
409	409	0.22311900	0.21855700	
410	410	0.21782600	0.21838300	
411	411	0.21742700	0.21812300	
412	412	0.21716300	0.21799200	
413	413	0.21716800	0.21799300	
414	414	0.21677700	0.21751600	
415	415	0.21653000	0.21732800	
416	416	0.21645600	0.21726900	
417	417	0.21637400	0.21723900	
418	418	0.21612400	0.21692400	
419	419	0.21606200	0.21702200	
420	420	0.21607000	0.21706200	
421	421	0.21613000	0.21683900	
422	422	0.21573400	0.21664000	
423	423	0.21564000	0.21654400	
424	424	0.21575700	0.21651800	
425	425	0.21519800	0.21609900	
426	426	0.21519400	0.21615000	
427	427	0.21529000	0.21630500	
428	428	0.21520900	0.21602000	
429	429	0.21497900	0.21593100	
430	430	0.21507600	0.21607700	
431	431	0.21537500	0.21614600	
432	432	0.21507400	0.21596500	
433	433	0.21493800	0.21583600	
434	434	0.21493500	0.21578300	
435	435	0.21480600	0.21569800	
436	436	0.21463700	0.21554600	
437	437	0.21468800	0.21557200	
438	438	0.21453800	0.21541300	
439	439	0.21453700	0.21542800	
440	440	0.21456500	0.21542000	
441	441	0.21459700	0.21541000	
442	442	0.21431700	0.21521700	
443	443	0.21432300	0.21521100	
444	444	0.21446200	0.21529600	
445	445	0.21415100	0.21492700	
446	446	0.21395600	0.21487700	
447	447	0.21403600	0.21493600	
448	448	0.21382000	0.21451900	
449	449	0.21355800	0.21445300	
450	450	0.21341900	0.21433500	
451	451	0.21356300	0.21436100	
452	452	0.21308000	0.21398400	
453	453	0.21305000	0.21395600	
454	454	0.21326200	0.21429000	
455	455	0.21312100	0.21380300	
456	456	0.21288600	0.21378900	
457	457	0.21290000	0.21378100	
458	458	0.21274400	0.21356200	
459	459	0.21250900	0.21342700	
460	460	0.21248400	0.21333200	
461	461	0.21242700	0.21325000	
462	462	0.21213500	0.21301600	
463	463	0.21233400	0.21320300	
464	464	0.21235500	0.21308500	
465	465	0.21213400	0.21283500	
466	466	0.21188100	0.21273200	
467	467	0.21187700	0.21279100	
468	468	0.21205300	0.21281700	
469	469	0.21177500	0.21248300	
470	470	0.21151800	0.21237100	
471	471	0.21177100	0.21262400	
472	472	0.21142500	0.21210500	
473	473	0.21121800	0.21206200	
474	474	0.21129800	0.21229500	
475	475	0.21146200	0.21206200	
476	476	0.21091700	0.21172500	
477	477	0.21107600	0.21188200	
478	478	0.21115700	0.21176000	
479	479	0.21057900	0.21145800	
480	480	0.21074400	0.21153000	
481	481	0.21071700	0.21146500	
482	482	0.21033700	0.21109100	
483	483	0.21038300	0.21116800	
484	484	0.21040900	0.21113500	
485	485	0.21027300	0.21099400	
486	486	0.21016900	0.21097600	
487	487	0.21028400	0.21104200	
488	488	0.21035800	0.21114400	
489	489	0.21007600	0.21061900	
490	490	0.20962900	0.21041500	
491	491	0.20971400	0.21076400	
492	492	0.21011400	0.21059400	
493	493	0.20969300	0.21045600	
494	494	0.20940300	0.21015200	
495	495	0.20970400	0.21033700
